fips,x,y
13153,-83.64493,32.48729
13155,-83.26807,31.62133
13157,-83.58543,34.13123
13159,-83.69022,33.32914
13161,-82.66605,31.82142
13163,-82.44509,33.03734
13165,-81.97797,32.78052
13167,-82.64220,32.66557
13169,-83.55739,33.01333
13171,-84.14531,33.06760
13173,-83.07520,31.01335
13175,-82.92288,32.43154
13177,-84.13665,31.76911
13179,-81.49916,31.80664
13181,-82.44973,33.81049
13183,-81.79691,31.77676
13185,-83.24597,30.82797
13187,-84.02685,34.57973
13189,-82.49575,33.48579
13191,-81.37779,31.49524
13193,-84.05105,32.34668
13195,-83.20627,34.13613
13197,-84.52421,32.34859
13199,-84.69995,33.03798
13201,-84.73013,31.16380
13205,-84.17984,31.26047
13207,-83.88261,33.02542
13209,-82.53338,32.15117
13211,-83.50873,33.62607
13213,-84.74334,34.78576
13215,-84.86385,32.49161
13217,-83.84126,33.55572
13219,-83.41610,33.83182
13221,-83.09031,33.86877
13223,-84.88688,33.92742
13225,-83.83251,32.56513
13227,-84.48669,34.46856
13229,-82.22129,31.36648
13231,-84.38286,33.08877
13233,-85.18235,33.99888
13235,-83.48758,32.25412
13237,-83.34384,33.32555
13239,-85.01867,31.88124
13241,-83.45304,34.85876
13243,-84.78082,31.77369
13245,-82.09112,33.38609
13247,-84.01196,33.65599
13249,-84.31625,32.29371
13251,-81.62451,32.76729
13253,-84.85097,30.89354
13255,-84.27005,33.26567
13257,-83.27937,34.57412
13259,-84.84923,32.07610
13261,-84.20606,32.05022
13263,-84.51903,32.70229
13265,-82.85700,33.58574
13267,-82.04905,32.05098
13269,-84.24477,32.56022
13271,-82.91384,31.96397
13273,-84.43159,31.79421
13275,-83.90724,30.86811
13277,-83.51788,31.46173
13279,-82.32577,32.13180
13281,-83.72491,34.89144
13283,-82.54726,32.40291
13285,-85.04171,33.04599
13287,-83.62522,31.71002
13289,-83.44283,32.67528
13291,-83.96052,34.81402
13293,-84.29236,32.84396
13295,-85.32613,34.78153
13297,-83.74727,33.76353
13299,-82.36553,31.01907
13301,-82.70180,33.43243
13303,-82.79883,32.99751
13305,-81.91509,31.57814
13307,-84.53803,32.07485
13309,-82.76470,32.11454
13311,-83.76680,34.65240
13313,-84.98862,34.80202
13315,-83.44997,31.98900
13317,-82.77816,33.79373
13319,-83.15371,32.79656
13321,-83.83319,31.58396
15001,-155.42837,19.59380
15003,-157.96945,21.48121
15005,-156.95198,21.20963
15007,-159.55628,22.05354
15009,-156.29137,20.77531
16001,-116.22437,43.45983
16003,-116.54167,44.85620
16005,-112.16305,42.63990
16007,-111.31616,42.30151
16009,-116.68456,47.21652
16011,-112.29777,43.24481
16013,-113.87840,43.30519
16015,-115.77170,43.96879
16017,-116.54212,48.36865
16019,-111.43373,43.32227
16021,-116.41719,48.75064
